FromID,ToID,Weight

3020101,3020117,0
3020102,3020121,0
3020103,3020124,0
3020104,3020125,0
3020105,3020126,0
3020106,3020127,0
3020107,3020128,0
3020108,3020128,0
3020108,3020129,0
3020109,3020130,0
3020110,3020131,0
3020111,3020132,0
3020112,3020134,0
3020113,3020133,0
3020113,3020134,0
3020114,3020118,0
3020115,3020119,0

3020116,3020117,112
3020117,3020118,45
3020118,3020119,50
3020119,3020120,32
3020120,3020121,33
3020121,3020122,62.2
3020122,3020123,87.6
3020121,3020123,72.9
3020120,3020123,65
3020120,3020124,100
3020124,3020125,80
3020125,3020126,50
3020126,3020127,65
3020127,3020128,70
3020128,3020129,80
3020129,3020130,55
3020130,3020131,65
3020131,3020132,55
3020132,3020133,30
3020133,3020134,50
3020134,3020135,50
3020135,3020136,37.8
3020134,3020136,30.48

3020123,3020213,1
3020136,3020224,1

3020201,3020214,0
3020202,3020215,0
3020203,3020216,0
3020204,3020217,0
3020205,3020218,0
3020206,3020218,0
3020206,3020219,0
3020207,3020220,0
3020208,3020220,0
3020208,3020221,0
3020209,3020222,0
3020210,3020223,0
3020211,3020222,0
3020211,3020223,0
3020212,3020214,0

3020213,3020214,55
3020214,3020215,80
3020215,3020216,55
3020216,3020217,105
3020217,3020218,85
3020218,3020219,105
3020219,3020220,70
3020220,3020221,105
3020221,3020222,70
3020222,3020223,75
3020223,3020224,43.46

3020213,3020203,1

3020301,3020204,0
3020302,3020204,0
3020203,3020204,50
