ID,Category,Name,Floor,Building,X,Y,Description

3020101,CLASSROOM,101호,1,교육대학원,360,160,...
3020102,CLASSROOM,102호,1,교육대학원,505,390,...
3020103,CLASSROOM,103호,1,교육대학원,570,390,...
3020104,CLASSROOM,104호,1,교육대학원,625,390,...
3020105,CLASSROOM,105호,1,교육대학원,670,390,...
3020106,CLASSROOM,106호,1,교육대학원,730,390,...
3020107,CLASSROOM,107호,1,교육대학원,790,390,...
3020108,CLASSROOM,108호,1,교육대학원,865,390,...
3020109,CLASSROOM,109호,1,교육대학원,940,390,...
3020110,CLASSROOM,110호,1,교육대학원,1000,390,...
3020111,CLASSROOM,111호,1,교육대학원,1060,390,...
3020112,CLASSROOM,112호,1,교육대학원,1125,390,...
3020113,CLASSROOM,113호,1,교육대학원,1133,255,...
3020114,RESTROOM,남자화장실,1,교육대학원,520,255,...
3020115,RESTROOM,여자화장실,1,교육대학원,520,290,...

3020116,ENTRANCE,입구 1,1,교육대학원,455,88,...
3020117,HALLWAY,...,1,교육대학원,455,200,...
3020118,HALLWAY,...,1,교육대학원,455,245,...
3020119,HALLWAY,...,1,교육대학원,455,295,...
3020120,HALLWAY,...,1,교육대학원,455,327,...
3020121,HALLWAY,...,1,교육대학원,455,360,...
3020122,ENTRANCE,입구 2,1,교육대학원,418,410,...
3020123,STAIRS,...,1,교육대학원,390,327,...
3020124,HALLWAY,...,1,교육대학원,555,327,...
3020125,HALLWAY,...,1,교육대학원,635,327,...
3020126,HALLWAY,...,1,교육대학원,685,327,...
3020127,HALLWAY,...,1,교육대학원,750,327,...
3020128,HALLWAY,...,1,교육대학원,820,327,...
3020129,HALLWAY,...,1,교육대학원,900,327,...
3020130,HALLWAY,...,1,교육대학원,955,327,...
3020131,HALLWAY,...,1,교육대학원,1020,327,...
3020132,HALLWAY,...,1,교육대학원,1075,327,...
3020133,HALLWAY,...,1,교육대학원,1105,327,...
3020134,HALLWAY,...,1,교육대학원,1155,327,...
3020135,ENTRANCE,입구 3,1,교육대학원,1205,327,...
3020136,STAIRS,...,1,교육대학원,1175,350,...

3020201,CLASSROOM,201호,2,교육대학원,360,400,...
3020202,CLASSROOM,202호,2,교육대학원,455,400,...
3020203,CLASSROOM,203호,2,교육대학원,555,400,...
3020204,CLASSROOM,204호,2,교육대학원,635,400,...
3020205,CLASSROOM,205호,2,교육대학원,695,400,...
3020206,CLASSROOM,206호,2,교육대학원,790,400,...
3020207,CLASSROOM,207호,2,교육대학원,875,400,...
3020208,CLASSROOM,208호,2,교육대학원,965,400,...
3020209,CLASSROOM,209호,2,교육대학원,1050,400,...
3020210,CLASSROOM,210호,2,교육대학원,1120,400,...
3020211,CLASSROOM,211호,2,교육대학원,1130,250,...
3020212,CLASSROOM,211호,2,교육대학원,400,280,...

3020213,STAIRS,...,2,교육대학원,350,333,...
3020214,HALLWAY,...,2,교육대학원,405,333,...
3020215,HALLWAY,...,2,교육대학원,485,333,...
3020216,HALLWAY,...,2,교육대학원,540,333,...
3020217,HALLWAY,...,2,교육대학원,645,333,...
3020218,HALLWAY,...,2,교육대학원,730,333,...
3020219,HALLWAY,...,2,교육대학원,835,333,...
3020220,HALLWAY,...,2,교육대학원,905,333,...
3020221,HALLWAY,...,2,교육대학원,1010,333,...
3020222,HALLWAY,...,2,교육대학원,1080,333,...
3020223,HALLWAY,...,2,교육대학원,1155,333,...
3020224,STAIRS,...,2,교육대학원,1195,350,...

3020301,CLASSROOM,301호,3,교육대학원,436,442,...
3020302,CLASSROOM,302호,3,교육대학원,472,305,...
3020203,STAIRS,...,3,교육대학원,420,355,...
3020204,HALLWAY,...,3,교육대학원,470,355,...
