FromID,ToID,Weight

0990001,0990002,17
0990002,0990003,23.71
0990003,0990004,15.26
0990004,0990005,19.31
0990005,4990001,12.65
4990001,4990002,14.21
4990002,4990003,15.81
4990003,5990001,8.49
0990001,5990001,76.01
5990001,5990002,83.74
5990002,4990004,9.9
4990004,4990005,29.07
4990003,4990005,54.56
4990001,4990006,57
4990001,4990007,14.76
4990007,4990008,55.95
4990005,4990008,5
4990008,4990009,12.04
4990004,4990009,18.03
4990009,4990010,31.3
4990010,4990011,29
4990006,4990011,13
4990007,4990011,50
4990010,4210151,17
4210151,4990012,31
4210151,4990013,17.03
4990013,4219101,19
4990004,4990013,48.17
4219101,4990014,19.42
4990014,4210101,28.64
4990014,4990015,47
4990015,4990016,30.07
4990016,4200151,29
4990016,4990017,18.38
4990013,4200151,32
4990004,4200151,36
4990004,4990017,29.07
4990017,5990003,10
5990003,5990004,16.28
5990002,5990004,14.21
5990003,4990018,36.24
4990016,4990018,29
4990018,4990019,78.23
4990019,4990020,9
4990020,4990021,51.48
4990015,4990021,46
4990016,4990021,56.6
4990021,4990022,30.81
4990022,4990023,22
4990023,4180151,40
4990021,4180151,61.59
4990015,4180151,53.6
4180151,4990024,41.11
4990015,4990024,30.81
4990014,4990024,38.29
4180151,4180152,53.08
4990024,4180152,37.2
4180152,4990025,29.41
4990014,4990025,41.63
4990025,4990026,38.6
4990006,4990026,76.54
4180152,4990027,31.4
4990027,4990028,30.81
4990028,4990029,19.21
4990027,4180153,29
4990028,4180153,18.44
4990029,4180153,31.95
4180153,4990030,39
4990030,4180351,11
4990023,4180351,11
4990022,4160151,40
4990020,4160151,9
4160151,4990031,40
4990031,4990032,32
4990032,4990033,37
4990033,4160152,12
4160152,4160153,47.1
4160153,4170151,21
4990030,4170151,22
4990033,4990034,16
4990034,4990035,37
4990032,4990035,16
4130151,4990036,32
4990036,4080151,7.62
4990036,4080152,30.89
4080151,4080152,31.05
4080152,4130152,16.76
4130152,4990037,23.54
4990037,4990038,7.21
4130151,4140151,53
4130153,4140151,13.15
4130153,4140152,16.12
4990038,4140152,25.32
4990038,4140153,18.44
4140153,4990039,16.97
4990034,4990039,43.57
4990034,4140151,31.4
4160152,4150151,33.84
4160153,4150151,29.07
4150151,4150152,12
4170151,4150152,35.61
4160153,4150152,23.09
4150151,4150153,20
4990039,4150153,49.16
4990039,4159151,14.87
4990029,4990040,94.05
4990040,4990041,6.32
4990037,4990041,74.67
4990039,4990041,39.29
4990040,4990042,98.48
4990042,4990043,6.71
4130152,4990043,5.39
4130152,4990044,54.92
4990044,4990045,28.23
4990045,4990046,19.42
4990042,4990046,93.26
4990046,4990047,22.02
4990045,4990047,13.42
4990047,4990048,16.12
4990047,4990049,20.22
4990048,4990049,6.4
4990049,4990050,18.25
4990045,4990050,24.7
4990050,4080153,19.24
4080151,4080153,17.26
4990050,4990051,30.87
4080153,4990051,18.36
4990036,4990051,12.53
4990051,4990052,14
4130151,4990052,16.28
